,Size,Society,Location,total_sqft,Available by,Age(in yrs),Status,Price(In Lakhs)
16539,2,Mont Vert Seville,Wakad,1029, Apr 2023,0,New,47.5
16540,2,Goyal My Home MH14 Punawale,Wakad,1150, Apr 2026,0,New,60
16541,2,Gaikwad Nirvanas,Wakad,1198,Ready To Move,2,Resale,75
16542,4,Enerrgia Skyi Songbirds,Bavdhan,1957,Ready To Move,4,Resale,139
16543,3,Goldfinger Tamara Uprise,Rahatani,1698, Dec 2025,0,New,142
16544,1,Shreya Heights,Fursungi,1000,Ready To Move,2,Resale,3.5
16545,3,Kumar Parc Residences A1,Hadapsar,1586, May 2024,0,New,110
16546,4,Five Star ANP Atlantis Phase I,Baner,1781, May 2025,0,New,217
16547,2,Naiknavare Avon Vista Phase 1 And Phase 2,Balewadi,1120, Dec 2025,0,New,81.35
16548,2,K Raheja Gardens,Wanowrie,1050, Dec 2028,0,New,80
16549,2,Vaishnavi Home,Tathawade,945, Dec 2026,0,New,65
16550,3,Pride Purple Park Springs,Lohegaon,1165, Nov 2026,0,New,73.5
16551,2,Rama Metro Life Maxima Residences,Tathawade,957,Ready To Move,0,Resale,63.28
16552,2,Godrej Prana,Undri,779, Aug 2020,0,New,82.49
16553,2,Reputed Builder Puraniks Abitante,Hinjawadi Village,770, Jan 2024,0,New,32
16554,3,Arun Developers Echo,Ravet,1100,Ready To Move,3,Resale,66.22
16555,2,Goel Ganga Newtown Phase I,Dhanori,609,Ready To Move,3,Resale,36.97
16556,2,Excellaa Tremont D E And F Wings,Mundhwa,959, Dec 2028,0,New,49
16557,2,Kumar Megapolis Smart Homes 3,Hinjewadi,1000,Ready To Move,2,Resale,54
16558,2,S B Sai Sanskruti,Wagholi,732, Oct 2024,0,New,57
16559,2,Bharat The Province Phase I,Tathawade,592, Mar 2023,0,New,47.62
16560,1,Mantra Insignia Building A And B,Mundhwa,345, Feb 2021,0,New,38.41
16561,1,Dynamic Grandeur Premium I,Undri,680,Ready To Move,1,Resale,32
16562,2,VTP Township Codename Pegasus,Kharadi,806, Jul 2022,0,New,72.5
16563,1,Xrbia Abode,Jambhul,200, Sep 2023,0,New,8
16564,2,Kolte Patil Beryl,Kharadi,1130,Ready To Move,7,Resale,82
16565,1,Ramesh Hermes Heritage Phase 2,Yerawada,650, Nov 2026,0,New,60
16566,3,Paranjape Blue Ridge Project C Land T18 And T19,Hinjewadi,961, Dec 2024,0,New,80.43
16567,3,Majestique Marbella Phase 1,Kharadi,1470, Dec 2025,0,New,142
16568,2,Creative Orchid,Tathawade,1000, Jul 2023,0,New,65
16569,3,Vilas Upper Kharadi,Kharadi,850, Feb 2026,0,New,85
16570,2,Godrej Elements,Hinjewadi,1100, Nov 2025,0,New,77
16571,2,Mayuri Infinity,Undri,1050,Ready To Move,2,Resale,39.5
16572,2,Rohan Silver Gracia,Ravet,651,Ready To Move,0,Resale,63
16573,2,Excellaa Tremont D E And F Wings,Somatane,1004, Dec 2028,0,New,35.14
16574,2,Meera Apartments,Bhusari colony right,960,Ready To Move,23,Resale,95
16575,2,Wadhwani Om Manglam Chaitanya,Pimple Nilakh,960,Ready To Move,2,Resale,42.22
16576,2,Vertical Alcinia,NIBM Annex Mohammadwadi,750, Feb 2025,0,New,53.89
16577,3,Abhinav Pebbles II,Bavdhan,1013, Dec 2024,0,New,106
16578,2,Vertical Alcinia,NIBM Annex Mohammadwadi,815,Ready To Move,5,Resale,58.53
16579,3,Swaraj Homes Palash FGH,Wakad,1600, Dec 2025,0,New,92
16580,2,Reputed Builder Kudale Patil Paradise,Anand Nagar,730,Ready To Move,3,Resale,65
16581,2,Amanora Sterling Towers R4,Hadapsar,1070,Ready To Move,2,Resale,94.16
16582,2,Kohinoor Sportsville,Hinjewadi,631, Nov 2025,0,New,59.99
16583,2,Swaraj Homes Saudamini CHS,Kothrud,880, Mar 2026,0,New,85
16584,2,Oxford Florida River Walk II,Mundhwa,1000,Ready To Move,2,Resale,78
16585,2,Eastend Sanskruti Meander Wing B,Chandkhed,2100, Mar 2024,0,New,23
16586,2,Nirman Altius Wing B,Kharadi,760, Dec 2022,0,New,77.11
16587,2,Venkatesh Graffiti Elan,Hinjewadi,854, Dec 2023,0,New,46.39
16588,2,Kohinoor Tinsel Town Phase I,Hinjewadi,596,Ready To Move,3,Resale,67.72
16589,1,Swaraj Homes Lake View Park,Pashan,1800,Ready To Move,1,Resale,74
16590,1,Varad Residency,Kharadi,650, Apr 2025,0,New,49.51
16591,2,Kolte Patil Umang Premiere,Wagholi,980,Ready To Move,9,Resale,41
16592,2,Prakalp Pride,Baner,711, Jun 2025,0,New,48.01
16593,2,Atur Valley Vista,Pisoli,1250,Ready To Move,2,Resale,45
16594,2,Kumar Kruti,Kalyani Nagar,1200, Dec 2026,0,New,95
16595,4,Lodha Belmondo,Gahunje,2120, May 2024,0,New,313
16596,3,Paranjape Blue Ridge Project C Land T18 And T19,Hinjewadi,961, Dec 2021,0,New,80.43
16597,2,Ace Almighty Gamma Tower,Tathawade,533, Nov 2022,0,New,53.3
16598,1,Rohan Abhilasha,Wagholi,618,Ready To Move,5,Resale,33
16599,2,Yashada Yashada Windsong,Ravet,767, Nov 2026,0,New,77.25
16600,2,AUM Miravet District Phase I,Ravet,1174, Dec 2025,0,New,71.64
16601,2,Shree Nidhi,Lohegaon,938,Ready To Move,4,Resale,48.86
16602,3,Lodha Belmondo,Gahunje,1720, May 2023,0,New,207
16603,2,Tulip Infinity World,Tathawade,616, May 2026,0,New,71.31
16604,1,GK Developer Rose Icon,Pimple Saudagar,650,Ready To Move,9,Resale,52
16605,1,GK Arise,Tathawade,624, Dec 2026,0,New,37.5
16606,1,Vastu Vaastu River Glimpse,Ravet,650,Ready To Move,1,Resale,30.09
16607,2,VTP Flamante By VTP Luxe Phase 1,Wagholi,1150, Mar 2028,0,New,86
16608,1,Shivkrupa Prestige,Nanded,553,Ready To Move,1,Resale,15.74
16609,3,Nanded Shubh Kalyan,Dhayari,1553, Sep 2024,0,New,132
16610,1,Tanish Vatika,Charholi Budruk,668, Sep 2026,0,New,31
16611,2,Naiknavare Victoria Garden,Tathawade,837,Ready To Move,2,Resale,52.38
16612,2,Adi The Address,Wakad,1016, Dec 2027,0,New,48.26
16613,1,Jay Kasturi Homes,Ravet,750, Nov 2022,0,New,38
16614,1,Bhandari Greenfield,Hadapsar,630, Jun 2023,0,New,42
16615,1,Ram Green Hive,Fursungi,324,Ready To Move,6,Resale,12
16616,2,Kolte Patil Life Republic R4,Hinjewadi,980,Ready To Move,6,Resale,56
16617,2,Bharat The Province Phase I,Tathawade,928, Mar 2023,0,New,70.64
16618,1,Vilas Yashone Hinjawadi Phase II,Balewadi,737, Aug 2024,0,New,40.27
16619,1,Sattva H And M Royal,Kondhwa,610, May 2027,0,New,40
16620,2,Karan Madhupushpa,Wakad,975,Ready To Move,10,Resale,75
16621,1,B Orbit Bonneville,Moshi,601,Ready To Move,6,Resale,32
16622,2,Reputed Builder Gera Emerald City South,Kharadi,1100, Oct 2024,0,New,95
16623,1,Hubtown Countrywoods Building 1,Katraj,541, Feb 2024,0,New,29.85
16624,4,Goel Ganga Platinum B,Kharadi,1932, Nov 2025,0,New,154
16625,2,Ravima Newton Homes,Kothrud,1072, Jan 2025,0,New,115
16626,2,Rama Celestial City Phase II Building A E H,Ravet,744, Feb 2023,0,New,65.28
16627,2,Jairaj Aaradhyam Phase III,Kondhwa,891,Ready To Move,0,Resale,50.1
16628,1,Karia Konark Virtue,Mundhwa,644, Mar 2022,0,New,40
16629,3,Pyramid Atlante,Tathawade,1522, May 2022,0,New,115
16630,3,Basil Maximus,Punawale,990, Nov 2027,0,New,98.93
16631,2,Goel Ganga Ganga Carnations,Sus,690,Ready To Move,2,Resale,46.32
16632,2,Gagan Unnatii Phase 3,Kondhwa,1500,Ready To Move,1,Resale,106
16633,3,Raj Aangan,Ravet,1300, Mar 2024,0,New,70
16634,3,Mayfair Eleganza Phase 2,Kondhwa,1600,Ready To Move,15,Resale,130
16635,2,Ideal Balaji Vishwa,Moshi,779, Aug 2024,0,New,50.98
16636,4,Pride Purple Pushpak Park,Aundh,4499, May 2025,0,New,350
16637,2,Paranjape Gloria Grace,Bavdhan,960,Ready To Move,2,Resale,84.32
16638,3,Kumar Prospera A3 A4 And A5,Hadapsar,1632, Mar 2024,0,New,126
16639,2,Pride Wellington,Charholi Budruk,780, Dec 2025,0,New,60.51
16640,3,Kolte Patil Green Groves Cilantro,Wagholi,1430, May 2021,0,New,71
16641,2,Supreme Estia Phase I,Baner,849, May 2025,0,New,106
16642,3,Legacy Bliss,Wakad,1000,Ready To Move,0,Resale,78
16643,1,Mahalaxmi Zen Estate,Bavdhan,665,Ready To Move,1,Resale,55
16644,3,Paranjape Paranjape Gloria Grand,Bavdhan,1540, Aug 2022,0,New,135
16645,2,Nandgude Patil The Twenty Homes,Tathawade,950,Ready To Move,2,Resale,45
16646,2,Santosh Kakasaheb Pathade Milestone,Talegaon Dabhade,988, Jun 2027,0,New,50.27
16647,3,Vilas Palladio Phase 2,Tathawade,1400, Mar 2026,0,New,85
16648,3,Sadguru Empire,Ravet,1320,Ready To Move,0,Resale,64.27
16649,2,Jhamtani Ace KK Anand,Tathawade,992,Ready To Move,5,Resale,45
16650,3,Pride World City,Lohegaon,1405, Sep 2026,0,New,85.75
16651,2,Mahalaxmi Zen Estate,Kharadi,1120, Mar 2025,0,New,70
16652,2,Lodha Belmondo,Gahunje,1005, Jun 2025,0,New,150
16653,5,Kumar Privie Sanctum A1 And B1,Baner,4100, May 2023,0,New,525
16654,2,Clover Highlands,Kondhwa,1425, May 2024,0,New,125
16655,1,Unique Legacy Grand,Mundhwa,696, Sep 2026,0,New,51.84
16656,2,Kolte Patil Life Republic Sector R1 1st Avenue,Hinjewadi,1040, May 2027,0,New,63
16657,5,Kolte Patil 24K Opula,Pimple Nilakh,2970, Nov 2023,0,New,375
16658,1,Lalwani Vastu,Viman Nagar,650, Mar 2028,0,New,59
16659,3,Shree Nivasa Elevia Phase I,Mundhwa,845, Nov 2025,0,New,81.52
16660,3,Badhekar Pushkar,Kothrud,1324, Feb 2025,0,New,169
16661,1,Pethkar Samrajya,Shivane,580,Ready To Move,1,Resale,26
16662,3,Rising Kohinoor Grandeur,Ravet,681, Dec 2028,0,New,109
16663,2,Spacemint Easterlia,Lohegaon,895, Jul 2025,0,New,48
16664,2,Sukhwani Kingsley,Thergaon,832, Nov 2028,0,New,70
16665,2,Rigved Uptown,Balewadi,1050, Mar 2025,0,New,70
16666,2,Godrej Hinjewadi,Hinjewadi,760,Ready To Move,2,Resale,78
16667,2,Godrej Hillside 1,Mahalunge,1080,Ready To Move,2,Resale,58.23
16668,1,Krisala 41 Elite,Tathawade,785,Ready To Move,1,Resale,38.5
16669,3,GK Allure,Ravet,1066, May 2022,0,New,61.38
16670,2,K Raheja Vistas Premiere,NIBM Annex Mohammadwadi,1350,Ready To Move,5,Resale,118
16671,1,Aaryan Shriram Residency,Wagholi,732,Ready To Move,9,Resale,29
16672,2,Kalpataru Serenity,Manjari,1015, Nov 2026,0,New,56
16673,2,Rama Metro Life Maxima Residences,Tathawade,938,Ready To Move,0,Resale,61.38
16674,2,Bhandari Vermont,Wagholi,980, Nov 2023,0,New,55
16675,3,Nirmiti Lorelle,Wakad,1500,Ready To Move,13,Resale,100
16676,5,Paranjape Blue Ridge,Hinjewadi,2386, Nov 2023,0,New,138
16677,2,Sukhwani Skylines,Wakad,1000,Ready To Move,2,Resale,59
16678,3,Shapoorji Pallonji Bavdhan,Bavdhan,891, Dec 2023,0,New,70.06
16679,3,Pride Purple Park Titanium,Wakad,1400,Ready To Move,3,Resale,112
16680,2,Madhuban Madhuban Apartment,Balewadi,1100,Ready To Move,2,Resale,98
16681,1,Kolte Patil Life Republic ORO Avenue,Hinjewadi,425, Jun 2024,0,New,31.32
16682,1,Godrej River Greens,Manjari,435, Feb 2025,0,New,39
16683,3,Vivanta Vantage Twenty One,Pimple Saudagar,1520, Apr 2027,0,New,150
16684,2,Anushree And Jhamtani Auralia Residency,Tathawade,1024, Aug 2024,0,New,43.06
16685,2,Kumar Hillview Residency Phase I,Kothrud,1160, Dec 2025,0,New,130
16686,1,Shree Bal Kapil Akhila,Bibwewadi,533,Ready To Move,1,Resale,16
16687,2,Lotus Lotus Laxmi 2,Ravet,900,Ready To Move,4,Resale,50.52
16688,3,Majestique Towers East Wing B,Wagholi,709, May 2024,0,New,85.89
16689,2,Nandan Inspera,Wakad,1185, Nov 2023,0,New,85.5
16690,2,Satguru Blossom Homes,Ravet,869, Dec 2023,0,New,50.11
16691,1,Majestique Memories 90 Phase I,NIBM Annex Mohammadwadi,670,Ready To Move,1,Resale,29.87
16692,2,Vilas Yashwin Encore,Wakad,570, May 2024,0,New,55.99
16693,2,Majestique Manhattan,Wagholi,474, Aug 2023,0,New,46.42
16694,1,Wadhwani Om Manglam Chaitanya,Pimple Nilakh,575, Sep 2026,0,New,36
16695,2,Ratan Prestige,Shivane,1000,Ready To Move,2,Resale,42
16696,2,Venus Shubh Gloriya,Shewalewadi,1120, Oct 2024,0,New,65
16697,2,Nirman Brookefield Willows Villas,Undri,904,Ready To Move,2,Resale,45
16698,4,Darode Shriniwas Liviano Phase I,Kharadi,3000, Jul 2025,0,New,270
16699,3,Mahalaxmi Zen Estate,Kharadi,898, Feb 2025,0,New,96.08
16700,3,Clover Highlands,Kondhwa,1700,Ready To Move,16,Resale,150
16701,1,Swadik ANP Ultimus,Wakad,575, Jun 2027,0,New,66
16702,1,Mantra Properties 24 West,Hinjewadi,672, Dec 1899,0,New,40
16703,2,Sharada Oxford Premium,Wanwadi,1250,Ready To Move,2,Resale,125
16704,2,Cozy Homes,Wagholi,1000, Dec 2026,0,New,37
16705,2,Sarvesh Nakshtra Angan,Pirangut,744, Nov 2024,0,New,35
16706,2,Nyati Ekaant I,Dhayari,579, Aug 2024,0,New,64.82
16707,2,Shiv Divine Dazzle,Rahatani,632, Jun 2024,0,New,60.74
16708,4,Vascon Forest County,Kharadi,2500,Ready To Move,3,Resale,190
16709,3,Oree Code Name Real Bhavdhan,Bavdhan,1573, Dec 2026,0,New,125
16710,2,Rama Metro Life Maxima Residences,Tathawade,717,Ready To Move,0,Resale,65.48
16711,3,Kalpataru Crescendo,Wakad,1400,Ready To Move,3,Resale,135
16712,4,Kolte Patil Life Republic Sector R 17 B 17 B Avenue Nora,Hinjewadi,3300, Dec 2025,0,New,190
16713,2,Wadhwani Om Manglam Chaitanya,Pimple Nilakh,593, Sep 2026,0,New,44.5
16714,1,KALE AND DHANKAWADE Abhang,Ambegaon Budruk,626,Ready To Move,0,Resale,38.04
16715,1,Puraniks Abitante Phase 1B,Bavdhan,316, Nov 2021,0,New,45
16716,4,Kolte Patil Life Republic Sector R 17 B 17 B Avenue Nora,Hinjewadi,3300,Ready To Move,4,Resale,190
16717,3,Runal Gateway Phase II,Ravet,1700,Ready To Move,3,Resale,80
16718,2,Kunal The Canary Residence Collection Balewadi,Balewadi,1120, Dec 2026,0,New,91.95
16719,1,Dagde Tirumala Heights,Bavdhan,700, Dec 2024,0,New,45
16720,3,Avalon Elysium,Wakad,1604,Ready To Move,11,Resale,80.2
16721,2,Nirman Altius Wing B,Kharadi,938, May 2023,0,New,100
16722,2,Saheel Itrend Homes,Hinjewadi,1066, Jun 2022,0,New,48.98
16723,2,Naiknavare Avon Vista Phase 1 And Phase 2,Balewadi,1045,Ready To Move,2,Resale,94
16724,2,Yashada Life Vedika Phase 1,Pimple Saudagar,621,Ready To Move,0,Resale,87.01
16725,2,Pegasus Megapolis Mystic Phase 2,Hinjewadi,716, Feb 2025,0,New,76.34
16726,2,Paranjape Azure B,Tathawade,1015, May 2027,0,New,50
16727,2,Ramesh Hermes Heritage Phase 2,Yerawada,1400, Nov 2026,0,New,110
16728,2,Mantra 99 Riverfront,Baner,696, Dec 2022,0,New,93.12
16729,3,Goel Ganga Serio,Kharadi,2709, Dec 2025,0,New,220
16730,3,Pate Skyi Star City,Dhayari,676, Dec 2024,0,New,57.5
16731,3,VTP Euphoria,Hinjewadi,2200,Ready To Move,123,Resale,26
16732,2,Majestique Manhattan,Wagholi,1070, Mar 2024,0,New,66
16733,2,K Raheja Sterling Tower 3,NIBM Annex Mohammadwadi,700, Nov 2026,0,New,86.99
16734,1,Reputed Builder Puraniks Abitante,Bavdhan,663,Ready To Move,1,Resale,55
16735,2,Rama Melange Residence,Hinjewadi,950, Sep 2026,0,New,56
16736,2,Space Infra Airiana,Lohegaon,960, Jun 2025,0,New,51
16737,1,Darsh Heights,Ambegaon Budruk,506, Apr 2027,0,New,18
16738,1,Peninsula Ashokvann Phase 3,Gahunje,1462, Jun 2024,0,New,87.71
16739,4,Rahul Arcus Bldg E,Baner,2950, Oct 2027,0,New,267
16740,2,Pride World City,Lohegaon,980, May 2026,0,New,45
16741,1,Majestique Manhattan,Wagholi,309, Aug 2023,0,New,31.73
16742,2,Nyati Elan South East I,Wagholi,473, Feb 2021,0,New,47.83
16743,2,Sai Paradise,Manjari,862,Ready To Move,1,Resale,73.27
16744,2,Sancheti Eves Garden,Mundhwa,1023, Mar 2024,0,New,55
16745,2,Pristine Allure Part 1,Kharadi,666, Dec 2027,0,New,77.06
16746,2,V R Sukhwani Highlands,Sus,512, May 2023,0,New,51.24
16747,3,Puraniks Sayama Phase 3,Maval,2400, Nov 2022,0,New,205
16748,2,Bhandari Latitude,Wakad,1000, Dec 2021,0,New,85
16749,2,Shivam 19 Grand West,Wakad,1181,Ready To Move,2,Resale,82.47
16750,4,Kolte Patil 24K Sereno,Baner,2380, May 2025,0,New,200
16751,3,Jhala Tranquility Annexe,Fursungi,1500, Nov 2024,0,New,74.9
16752,3,Shree Graffiti Phase 5,Mundhwa,896, Feb 2021,0,New,124
16753,2,Rahul Arcus Phase I Bldg A,Baner,1150,Ready To Move,2,Resale,82
16754,1,Engineers IOS Tathawade,Tathawade,438, Nov 2025,0,New,35.46
16755,2,Shivdan M J Opera,Wakad,1090, Sep 2025,0,New,84
16756,2,Kumar Piccadilly,Wakad,850, May 2025,0,New,58
16757,3,Mont Vert Grande Plot 4 Bldg D,Pashan,1026, Nov 2023,0,New,112
16758,1,Kolte Patil IVY Apartments,Wagholi,650,Ready To Move,2,Resale,25.5
16759,2,SRK Mango Nest,Dhayari,950,Ready To Move,7,Resale,70
16760,1,Laxmi Kutumb,Ambegaon Budruk,699, Apr 2026,0,New,35
16761,1,Samarth Mrudula Residency,Pimpri,593, Sep 2026,0,New,42.5
16762,2,Gera Planet Of Joy,Wagholi,725, Dec 2025,0,New,79
16763,2,Pride Manhattan At Pride World City,Charholi Budruk,1000, Apr 2024,0,New,53.8
16764,2,Kanifnath Archana Paradise Phase II B,NIBM Annex Mohammadwadi,524, Nov 2025,0,New,53.72
16765,2,NG NG Rathi Palmnest G Tower Ultima,Wagholi,1236, Aug 2024,0,New,51.2
16766,3,Bramha The Collection,Wadgaon Sheri,1520, Sep 2029,0,New,140
16767,1,Krishna Sai Dwarka,Ravet,600, Nov 2024,0,New,28.68
16768,2,Vistacore Ambiience Antilia,Bavdhan,900,Ready To Move,13,Resale,79
16769,2,Sukhwani Coloronic,Ravet,984, Dec 2024,0,New,56.28
16770,2,Duville Riverdale Heights,Kharadi,1144, Nov 2026,0,New,123
16771,2,Pharande Woodsville,Chikhali,1299, Jun 2022,0,New,62.36
16772,2,Adimaya Gravitas Residency,Ravet,900, Dec 2023,0,New,40
16773,1,Aum Sanskruti Aum Sanskruti Housing Casa Imperia Ph 2,Wakad,645,Ready To Move,1,Resale,36
16774,4,Paranjape Blue Ridge,Wakad,1954,Ready To Move,4,Resale,135
16775,2,Onyx Gagan Avencia,Kharadi,995, Dec 2027,0,New,110
16776,3,Oree Code Name Real Bhavdhan,Bavdhan,1572, Jun 2026,0,New,110
16777,2,Shree Nidhi,Lohegaon,1010,Ready To Move,4,Resale,49.8
16778,4,Kasturi The Balmoral Riverside,Baner,2980, Sep 2023,0,New,600
16779,2,Prasun Sarvam,Kharadi,1036, May 2024,0,New,70
16780,2,Malpani Cereza,Tathawade,935, May 2022,0,New,46.5
16781,3,Sharada Oxford Premium,Wanwadi,1800, Dec 2028,0,New,130
16782,4,Rahul Construction Rahul Downtown,Punawale,2144, Apr 2025,0,New,105
16783,1,Naiknavare Avasa Meadows Talegaon,Thergaon,649,Ready To Move,2,Resale,42.5
16784,1,Evernest Shivshrushti,Bhosari,463, Dec 2026,0,New,35.22
16785,2,AG Gracia,Kharadi,991,Ready To Move,8,Resale,78
16786,2,Sentosa Ekam,Punawale,1000, Dec 2025,0,New,52
16787,2,Bhandari Nea Pure Homes,Sus,1010,Ready To Move,6,Resale,68
16788,4,RGS Forte,Wakad,1916, Mar 2025,0,New,140
16789,2,Karma Rejoice,Erandwane,750,Ready To Move,1,Resale,84.99
16790,2,Jhala Tranquility Annexe,Manjari,789,Ready To Move,2,Resale,81.05
16791,3,Goel Ganga Hill Mist Harmony,Kondhwa,1500, May 2027,0,New,110
16792,2,Mavens Viaan,Undri,1050,Ready To Move,2,Resale,50
16793,2,Kasturi The Balmoral Riverside,Hinjawadi Village,1033,Ready To Move,2,Resale,65.23
16794,2,Prathamesh Excellencia,Tathawade,1012,Ready To Move,0,Resale,56
16795,1,Puraniks Aldea Espanola,Pimple Gurav,320,Ready To Move,1,Resale,15
16796,3,Sonigara Kesar,Wakad,1560, Dec 2024,0,New,102
16797,3,Paranjape Paranjape Gloria Grand,Bavdhan,908, Aug 2022,0,New,126
16798,2,Rama Celestial City Phase II Building A E H,Ravet,676, Sep 2022,0,New,59.84
16799,2,Shakuntal Forestia,Moshi,980, Nov 2024,0,New,51.5
16800,3,Adani Atelier Greens,Mundhwa,1142, Feb 2024,0,New,204
16801,2,EL Destination EL Progreso,Dudulgaon,965, Nov 2024,0,New,46
16802,2,Bhandari 7 Plumeria Drive Phase 1,Tathawade,673, Dec 2026,0,New,85.49
16803,2,Rohan Ananta Phase I,Tathawade,559, Feb 2023,0,New,65.52
16804,2,Manav Perfect 10 Phase III,Balewadi,985, Mar 2025,0,New,85
16805,2,Golecha Ethos,Tathawade,1026,Ready To Move,6,Resale,63
16806,2,Paranjape Paranjape Gloria Grand,Bavdhan,1249, Nov 2026,0,New,95
16807,2,Mantra Properties 24 West,Hinjewadi,952, Dec 1899,0,New,57
16808,2,Manav Silver Springs,Wagholi,923, May 2022,0,New,55
16809,3,Aaiji Crystal,Tingre Nagar,1226, Apr 2026,0,New,140
16810,3,Swaraj Homes Ashirwad Society,Rasta Peth,1280,Ready To Move,2,Resale,115
16811,3,Majestique 38 Park Majestique,Undri,1509,Ready To Move,3,Resale,65
16812,3,Parth Srushti,Kothrud,1200,Ready To Move,0,Resale,130
16813,3,Polite Bhalchandra Vihar Phase I A And B,Ravet,786, May 2023,0,New,86.08
16814,3,Phinix Elina,Sus,1300, Nov 2023,0,New,78
16815,2,Vilas Yashwin Supernova,Wakad,980,Ready To Move,2,Resale,69.37
16816,3,Kolte Patil Life Republic Sector R7 7th Avenue I Towers,Hinjewadi,1800,Ready To Move,3,Resale,95
16817,5,Dynamic Grandeur Premium L Phase I,Undri,4180, Nov 2026,0,New,200
16818,1,Bhandari BA Iris,Wagholi,678, Nov 2025,0,New,31
16819,2,Sukhwani Palm S,Wagholi,938,Ready To Move,2,Resale,46.9
16820,2,Tulip Infinity World,Tathawade,571, May 2026,0,New,66.1
16821,2,Swaraj Homes Suryaprabha Garden Apartment,Gultekdi,900,Ready To Move,2,Resale,95
16822,2,Vaishnavi Home,Hinjewadi,826,Ready To Move,2,Resale,45.64
16823,3,Krisna Nirmaan Amorapolis B Wing,Dhanori,1580, May 2023,0,New,80
16824,3,Kasturi Apostrophe Next,Wakad,1430,Ready To Move,0,Resale,153
16825,1,Reputed Builder Motiram Nagar,Warje,650,Ready To Move,13,Resale,52
16826,2,Vardhaman Moonstone,Tathawade,923,Ready To Move,2,Resale,47.28
16827,2,Paradise Homes,Talegaon Dabhade,1368,Ready To Move,2,Resale,44.08
16828,2,Gulmohar Primrose,Wagholi,1063, Dec 2028,0,New,65
16829,3,Lodha Belmondo,Mohammed wadi,1800, Dec 2024,0,New,100
16830,1,Shrem Kekarav,Tathawade,585, Nov 2023,0,New,42.5
16831,3,Bhandari 43 Privet Drive C Building,Balewadi,1465,Ready To Move,0,Resale,228
16832,1,Kalpataru Splendour,Wakad,975,Ready To Move,7,Resale,59.91
16833,2,Icon Viva,Hinjewadi,1091, Dec 2024,0,New,65.46
16834,2,Shakuntal Forestia,Moshi,859, Nov 2024,0,New,39
16835,3,Vilas Yashone Hinjawadi Phase II,Hinjawadi Village,1188, Aug 2023,0,New,81.36
16836,2,SMP Namrata Life 360 Degree,Rahatani,981, Oct 2023,0,New,65.5
16837,2,Sattva H And M Royal,Kondhwa,1000,Ready To Move,17,Resale,65
16838,3,Panchshil Yoovillas,Baner,1444, Feb 2023,0,New,122
16839,3,Sancheti Mount N Glory,Kharadi,1400,Ready To Move,3,Resale,110
16840,1,Amarnath Amora Tower,Charholi Budruk,660,Ready To Move,6,Resale,30
16841,2,Saheel I Trend Life Plus,Kothrud,820, Feb 2025,0,New,125
16842,2,Parklane Urbanjoy Wing B,Sus,730, Nov 2027,0,New,58.5
16843,2,Unique K Ville,Ravet,674, Sep 2023,0,New,52.4
16844,3,Pride Notting Hill,Lohegaon,2335, Dec 2026,0,New,200
16845,2,Aditya Garden City,Warje,1103, Jun 2023,0,New,83.4
16846,4,Reputed Builder Western Hills Phase 1,Baner,3500, Nov 2026,0,New,445
16847,3,K Raheja T11 Named As Raheja Stellar In RV Premeire,NIBM Annex Mohammadwadi,1700, Dec 2024,0,New,144
16848,2,Kumar Parc Residences A1,Hadapsar,1160, Nov 2026,0,New,73
16849,2,Legacy Legacy Twin Arcs,Tathawade,898, Nov 2023,0,New,64
16850,3,Naiknavare Avon Vista Project 3,Balewadi,1400,Ready To Move,3,Resale,116
16851,2,Panchshil Eon Waterfront,Kothrud,1123,Ready To Move,2,Resale,125
16852,1,Enerrgia Skyi Skyi Songbirds Phase C,Bavdhan,394, Oct 2020,0,New,22.45
16853,2,Sukhwani Skylines,Wakad,1056, Dec 2026,0,New,89.64
16854,2,Pethkar Siyona Phase I,Tathawade,723, Dec 2025,0,New,69.4
16855,4,Lodha Lodha Belmondo,Gahunje,3078,Ready To Move,5,Resale,355
16856,2,G K Rosewood,Pimple Saudagar,915,Ready To Move,8,Resale,77
16857,2,Vistacore Ambiience Antilia,Bavdhan,950,Ready To Move,13,Resale,81
16858,4,Goel Satellite,Mundhwa,7000,Ready To Move,4,Resale,1200
16859,1,Amanora Trendy Homes,Hadapsar,676,Ready To Move,8,Resale,60
16860,3,Kumar Prospera,Hadapsar,1610, Oct 2023,0,New,125
16861,2,Platinum Atlantis,Balewadi,950, Oct 2023,0,New,75
16862,2,VTP HiLife,Wakad,967, Nov 2026,0,New,78
16863,2,Sharada Megh Sparsh,Ambegaon Budruk,950, Aug 2027,0,New,52
16864,2,Nyati Elysia I,Kharadi,1000,Ready To Move,2,Resale,76
16865,4,Badhekar Ramkrupa,Kothrud,1597, Jun 2023,0,New,302
16866,3,Lodha Bella Vita,NIBM Annex Mohammadwadi,1600,Ready To Move,3,Resale,111
16867,2,Manav La Moda,Karve Nagar,1400,Ready To Move,2,Resale,140
16868,3,Majestique Signature Towers Phase 3,Balewadi,967, Nov 2028,0,New,136
16869,2,OM The Island,Wakad,1025, Jan 2025,0,New,47.66
16870,2,R G Mahalaxmi Vihar,Vishrantwadi,1053, Dec 2025,0,New,75
16871,1,GK Developer Peace Valley,Pimple Saudagar,750,Ready To Move,10,Resale,55
16872,3,Mark Celebrations County,Kothrud,1941, Jan 2024,0,New,210
